domain,value_source,tag_0,tag_0_attr_0_name,tag_0_attr_0_value,tag_0_attr_1_name,tag_0_attr_1_value,tag_0_attr_2_name,tag_0_attr_2_value,tag_1,tag_1_attr_0_name,tag_1_attr_0_value,tag_1_attr_1_name,tag_1_attr_1_value,tag_1_attr_2_name,tag_1_attr_2_value,tag_2,tag_2_attr_0_name,tag_2_attr_0_value,tag_2_attr_1_name,tag_2_attr_1_value,tag_2_attr_2_name,tag_2_attr_2_value,value,is_target
pro-outdoor.dk,text,html,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,html,,,,,,,,,,,,,,0,80,
pro-outdoor.dk,attr,link,rel,alternate,hreflang,da,href,httpswwwprooutdoordkshopjetboilzipletgasbraenderphtml,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,1.425.197,00,
pro-outdoor.dk,attr,meta,http-equiv,contenttype,content,texthtmlcharsetutf,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,8,00,
pro-outdoor.dk,attr,link,rel,canonical,href,httpswwwprooutdoordkshopjetboilzipletgasbraenderphtml,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,1.425.197,00,
pro-outdoor.dk,attr,link,rel,imagesrc,href,httpswwwprooutdoordkimagesjetboilziplitergasbraendergrydejpg,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,80,
pro-outdoor.dk,attr,meta,property,ogtitle,content,jetboilzipl,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,80,
pro-outdoor.dk,attr,meta,property,ogurl,content,httpswwwprooutdoordkshopjetboilzipletgasbraenderphtml,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,1.425.197,00,
pro-outdoor.dk,attr,meta,property,ogimage,content,httpswwwprooutdoordkimagesjetboilziplitergasbraendergrydejpg,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,80,
pro-outdoor.dk,attr,meta,name,thumbnail,content,httpswwwprooutdoordkimagesjetboilziplitergasbraendergrydejpg,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,80,
pro-outdoor.dk,attr,meta,name,description,content,jetboilszipgasbrnderharengrydepliterogkankogecalitervandprgramgaskogetidenblivernedbragtafdenvarmefordelendefluxringoggrydenharetneoprenbetrksduikkebrnderfingrenepkogendevandogindholdetholdersigbedrevarmt,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,80,
pro-outdoor.dk,attr,meta,http-equiv,pageenter,content,blendtransduration,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,00,
pro-outdoor.dk,attr,meta,http-equiv,pageexit,content,blendtransduration,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,00,
pro-outdoor.dk,attr,link,href,shopfrontendpubliccsswebshopcssv,rel,stylesheet,type,textcss,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,8,83,
pro-outdoor.dk,attr,link,href,imagesddcssshopcss,rel,stylesheet,type,textcss,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,132,00,
pro-outdoor.dk,text,script,type,textjavascript,,,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,26,00,
pro-outdoor.dk,attr,script,src,httpswwwgoogletagmanagercomgtagjsidua,class,shopnativegtagscript,async,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,5.375.040,00,
pro-outdoor.dk,text,script,type,textplain,class,cescript,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,00,
pro-outdoor.dk,text,script,type,textplain,class,cescript,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,00,
pro-outdoor.dk,text,script,type,textplain,class,cescript,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,00,
pro-outdoor.dk,text,script,type,textplain,class,cescript,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,00,
pro-outdoor.dk,attr,img,height,,width,,style,displaynone,img,,,,,,,#text,,,,,,,1,00,
pro-outdoor.dk,attr,img,height,,width,,style,displaynone,img,,,,,,,#text,,,,,,,1,00,
pro-outdoor.dk,text,script,type,textplain,class,cescript,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,148,00,
pro-outdoor.dk,text,script,type,textplain,class,cescript,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,148,00,
pro-outdoor.dk,attr,script,type,textjavascript,src,shopfrontendpublicjswebshopallminjsv,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,8,83,
pro-outdoor.dk,text,script,id,mcjs,,,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,0,00,
pro-outdoor.dk,text,script,type,textjavascript,,,,,#text,,,,,,,#comment,lang,da,class,webshophtml,xmlns:fb,httpogpmensfb,5,00,
